Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Tipo
107096654,11322,1,362304,32,32,32,32,0,32,32,32,0,9459.16392863454,345127.824295924,24502135,0,107069134,9457.56858934724,345143.026372853,24502135,0,0,0,0,0,0,0,0,0,0,90576,8,105.717588525221,0.0093373598768081,32,32,32,0,0,0,0,0,0,0,0,0,0,0,32.0028261061556,32,32,0,0,0,0,0,0,11322,362304,1,32,-1,-1,11322,0,7141260.25,9784140.16642183,21796347,1531439,15664394.4,5101437.93304214,24502135,11794482,2
107736919,10398,1,332736,32,32,32,32,0,32,32,32,0,10361.3116945566,379485.422278011,24206221,0,107736918,10362.3081658171,379503.659746125,24206221,0,0,0,0,0,0,0,0,0,0,83184,8,96.5128768904186,0.00928186929125011,32,32,32,0,0,0,0,0,0,0,0,0,0,0,32.0030772189634,32,32,0,0,0,0,0,0,10398,332736,1,32,-1,-1,10398,0,6012556,10633058.2300072,21944093,1,16716690.4,4709893.9894129,24206221,12737945,2
106960127,9942,1,318144,32,32,32,32,0,32,32,32,0,10758.4114866224,476837.655941652,41325023,0,106960127,10759.4937129061,476861.628925563,41325023,0,0,0,0,0,0,0,0,0,0,79536,8,92.9505253859693,0.00934927835304459,32,32,32,0,0,0,0,0,0,0,0,0,0,0,32.003218344564,32,32,0,0,0,0,0,0,9942,318144,1,32,-1,-1,9942,0,6355782.25,10323213.3351863,21839559,1073460,20384249.5,14027982.504095,41325023,12132957,2
107100035,9809,1,313888,32,32,32,32,0,32,32,32,0,10918.5477622591,383734.652264656,25931181,0,106438208,10852.1827079935,383697.917615627,25931181,0,0,0,0,0,0,0,0,0,0,78472,8,91.5872716568206,0.00933706510926911,32,32,32,0,0,0,0,0,0,0,0,0,0,0,32.0032619775739,32,32,0,0,0,0,0,0,9809,313888,1,32,-1,-1,9809,0,5228962.4,9014273.58931666,21344753,697408,16191044.6,5464333.69904724,25931181,13289827,2
107438398,15050,1,481600,32,32,32,32,0,32,32,32,0,7138.76398671098,315100.034302706,27560924,0,107438398,7139.23835470795,315110.49858572,27560924,0,0,0,0,0,0,0,0,0,0,120400,8,140.080271859601,0.00930765925977414,32,32,32,0,0,0,0,0,0,0,0,0,0,0,32.0021261045778,32,32,0,0,0,0,0,0,15050,481600,1,32,-1,-1,15050,0,5254678.8,9331777.28948536,21904549,88904,16231851,6464422.16648646,27560924,12152189,2
107715072,7930,1,253760,32,32,32,32,0,32,32,32,0,13583.2373266078,435447.980879559,25624292,0,107715072,13584.9504351116,435475.415952222,25624292,0,0,0,0,0,0,0,0,0,0,63440,8,73.6201522475889,0.00928375185972117,32,32,32,0,0,0,0,0,0,0,0,0,0,0,32.0040348001513,32,32,0,0,0,0,0,0,7930,253760,1,32,-1,-1,7930,0,6147809.75,10465435.7840285,21819730,119200,16609457.6,5346083.59277133,25624292,12484604,2
81467333,11100,1,355200,32,32,32,32,0,32,32,32,0,7339.39936936936,248702.460440084,14337790,0,81467333,7340.06063609333,248713.655261549,14337790,0,0,0,0,0,0,0,0,0,0,88800,8,136.250931400933,0.0122748586847688,32,32,32,0,0,0,0,0,0,0,0,0,0,0,32.0028826231871,32,32,0,0,0,0,0,0,11100,355200,1,32,-1,-1,11100,0,6899585,10231478.6871168,22212463,1041314,12941785,1108630.35594316,14337790,12018516,2
79475459,11401,1,364832,32,32,32,32,0,32,32,32,0,6970.92000701692,255080.427548315,14416378,0,79475459,6971.53149122808,255091.607665936,14416378,0,0,0,0,0,0,0,0,0,0,91208,8,143.453087826772,0.0125825004672197,32,32,32,0,0,0,0,0,0,0,0,0,0,0,32.002806525171,32,32,0,0,0,0,0,0,11401,364832,1,32,-1,-1,11401,0,6113829.5,10616808.2568166,22027207,299461,13486675.25,991377.253475647,14416378,12286496,2
107701555,17777,1,568864,32,32,32,32,0,32,32,32,0,6058.47752714183,277120.834626415,26102475,0,107676523,6057.41015976598,277128.593215665,26102475,0,0,0,0,0,0,0,0,0,0,142216,8,165.057969682982,0.00928491700978691,32,32,32,0,0,0,0,0,0,0,0,0,0,0,32.0017999775003,32,32,0,0,0,0,0,0,17777,568864,1,32,-1,-1,17777,0,5959987.8,8965326.56484256,21961780,1370401,15561719.2,5974955.15829661,26102475,11661251,2
78848943,12122,1,387904,32,32,32,32,0,32,32,32,0,6504.61499752518,246974.715858626,15196764,0,78837053,6504.17069548719,246984.899529679,15196764,0,0,0,0,0,0,0,0,0,0,96976,8,153.737000634238,0.0126824781912422,32,32,32,0,0,0,0,0,0,0,0,0,0,0,32.0026396106574,32,32,0,0,0,0,0,0,12122,387904,1,32,-1,-1,12122,0,6052553.5,9108675.54879356,19648577,736492,13462582,1363013.1151394,15196764,11863677,2
